symbol,name,price,peratio,marketcap,annrevenue,netincome,sales12,sales13,sales14,sales15,sales16,spt12,spt13,spt14,spt15,spt16,in12,in13,in14,in15,in16,ipt12,ipt13,ipt14,ipt15,ipt16,eps12,eps13,eps14,eps15,eps16,ept12,ept13,ept14,ept15,ept16
TIVO,TiVo Corp,18.05,52.79,2.18B,649.09,37.25,690.81M,650.57M,538.07M,542.31M,526.27M,-,-5.82,-17.29,0.79,-2.96,9.72M,14.89M,20.36M,(13.52M),(4.29M),-,53.21,36.68,-166.42,68.26,-0.38,-0.33,-1.75,-0.76,-0.05,-,13.16,-430.3,56.57,93.42
LTRPA,Liberty Tripadvisor Holdings Inc,13.9,52.12,1.09B,1532,21,165M,1.03B,1.33B,1.57B,1.53B,-,526.67,28.53,17.76,-2.11,983M,(7M),(22M),(40M),21M,-,-100.71,-214.29,-81.82,152.5,-,-,-0.3,-0.53,0.28,-,-,-,-76.67,152.83
LTRPB,Liberty Tripadvisor Holdings Inc,13.85,51.94,1.06B,-,-,165M,1.03B,1.33B,1.57B,1.53B,-,526.67,28.53,17.76,-2.11,983M,(7M),(22M),(40M),21M,-,-100.71,-214.29,-81.82,152.5,-,-,-0.3,-0.53,0.28,-,-,-,-76.67,152.83
EMKR,EMCORE Corporation,8.6,51.48,232.59M,92,2.62,163.78M,168.15M,174.78M,81.69M,92M,-,2.67,3.94,-53.26,12.63,(39.17M),4.96M,4.85M,(2.27M),2.62M,-,112.67,-2.34,-146.88,215.27,-1.66,0.19,0.16,2.1,0.32,-,111.45,-15.79,1212.5,-84.76
VSH,Vishay Intertechnology,16.15,51.03,2.37B,2323.43,48.79,2.23B,2.37B,2.49B,2.3B,2.32B,-,6.32,5.16,-7.73,1,122.74M,122.98M,117.63M,(108.51M),48.79M,-,0.2,-4.35,-192.25,144.96,0.82,0.85,0.8,-0.73,0.33,-,3.66,-5.88,-191.25,145.21
SWI,SolarWinds Inc,59.98,-,-,4.30B,50.71,36.29B,49.04B,51.44B,61.3B,60.89B,-,35.15,4.89,19.18,-0.68,32.21B,17.41B,13.29B,11.07B,13.43B,-,-45.95,-23.66,-16.72,21.32,21.41,11.57,8.83,7.36,8.93,-,-45.96,-23.68,-16.65,21.33
PERI,Perion Network Ltd,1.79,50.62,138.68M,312.79,2.85,60.22M,87.15M,388.73M,220.95M,312.79M,-,44.71,346.06,-43.16,41.57,3.53M,310000,42.83M,(68.66M),2.85M,-,-91.23,13714.84,-260.32,104.15,0.35,0.03,0.63,-0.96,-0.02,-,-91.43,2000,-252.38,97.92
SLAB,Silicon Laboratories,72.85,50.26,3.08B,697.63,61.49,563.29M,580.09M,620.7M,644.83M,697.63M,-,2.98,7,3.89,8.19,63.55M,49.82M,38.02M,29.59M,61.49M,-,-21.6,-23.68,-22.19,107.85,1.51,1.17,0.88,0.7,1.47,-,-22.52,-24.79,-20.45,110
GVP,GSE Systems Inc.,3.55,50.08,66.32M,56.8,-4.7,52.25M,47.56M,37.93M,56.8M,53.1M,-,-8.97,-20.25,49.76,-6.52,1.17M,(10.51M),(6.74M),(4.71M),1.42M,-,-995.32,35.86,30.21,130.22,0.06,-0.58,-0.38,-0.26,0.08,-,-1066.67,34.48,31.58,130.77
NATI,National Instruments Corp,32.03,50,4.21B,1228.18,82.73,1.14B,1.17B,1.24B,1.2B,1.23B,-,2.5,5.95,-3.01,2.1,90.14M,80.51M,126.33M,95.26M,82.73M,-,-10.68,56.91,-24.59,-13.15,0.74,0.65,0.99,0.74,0.64,-,-12.16,52.31,-25.25,-13.51
UBNT,Ubiquiti Networks Inc,50.67,17.54,4.17B,666.4,213.62,353.52M,320.82M,572.46M,595.95M,666.4M,-,-9.25,78.44,4.1,11.82,102.59M,80.49M,176.94M,129.66M,213.62M,-,-21.54,119.82,-26.72,64.75,-0.12,0.91,2.02,1.47,2.53,-,858.33,121.98,-27.23,72.11
GIB,CGI Group Inc,46.8,17.53,12.53B,8016.85,801.98,4.77B,10.08B,10.5B,10.29B,10.68B,-,111.31,4.12,-2.02,3.85,131.53M,455.82M,859.44M,977.56M,1.07B,-,246.55,88.55,13.74,9.33,0.5,1.48,2.78,3.14,3.51,-,196,87.84,12.95,11.78
KLAC,KLA-Tencor Corp,95.72,17.38,14.95B,2984.49,704.42,3.17B,2.84B,2.93B,2.81B,2.99B,-,-10.45,2.99,-4.07,6.45,756.02M,543.15M,582.76M,366.16M,704.42M,-,-28.16,7.29,-37.17,92.38,4.53,3.27,3.51,2.26,4.52,-,-27.81,7.34,-35.61,100
QCOM,QUALCOMM Inc.,56.92,17.35,84.07B,23554,5705,19.12B,24.87B,26.49B,25.28B,23.55B,-,30.05,6.52,-4.55,-6.83,5.33B,6.85B,7.54B,5.27B,5.71B,-,28.5,9.98,-30.07,8.23,2.9,3.99,4.48,3.26,3.84,-,37.59,12.24,-27.26,18.01
EVOL,Evolving Systems Inc,4.65,17.19,55.37M,25.58,3.3,19.02M,26.25M,25.09M,29.68M,25.58M,-,37.98,-4.4,18.28,-13.83,-955000,5.56M,3.81M,5.61M,3.3M,-,682.62,-31.6,47.35,-41.23,0.17,0.49,0.33,0.48,0.28,-,188.24,-32.65,45.45,-41.67
TACT,TransAct Technologies Incorporated,8.15,17.12,59.87M,57.24,3.62,68.39M,60.14M,53.11M,59.68M,57.24M,-,-12.06,-11.69,12.37,-4.09,3.62M,4.94M,(2.42M),3.09M,3.62M,-,36.29,-149.06,227.72,16.98,0.4,0.57,-0.29,0.4,0.48,-,42.5,-150.88,237.93,20
NANO,Nanometrics Incorporated,29.4,16.97,746.88M,221.13,44.04,182.88M,144.31M,166.44M,187.37M,221.13M,-,-21.09,15.34,12.57,18.02,4.47M,(14.15M),(31.12M),2.91M,44.04M,-,-416.82,-119.98,109.34,1415.83,0.19,-0.61,-1.3,0.12,1.79,-,-421.05,-113.11,109.23,1391.67
AAPL,Apple Inc.,140.64,16.84,735.26B,215639,45687,155.97B,170.87B,183.24B,231.28B,214.23B,-,9.55,7.24,26.22,-7.37,41.73B,37.04B,39.51B,53.39B,45.69B,-,-11.25,6.68,35.14,-14.43,6.38,5.72,6.49,9.28,8.35,-,-10.33,13.49,42.99,-10.02
ASX,Advanced Semiconductor Engnrng Inc (ADR),6.54,16.84,10.65B,9023.23,711.67,193.97B,219.86B,256.59B,283.3B,274.88B,-,13.35,16.71,10.41,-2.97,13.07B,15.69B,23.64B,19.48B,21.69B,-,20.07,50.66,-17.59,11.36,1.74,2.08,3.05,2.53,2.81,-,19.43,46.89,-16.94,10.98
CA,CA Inc.,31.86,16.76,13.28B,4025,761,4.81B,4.61B,4.52B,4.26B,4.03B,-,-4.24,-2.06,-5.6,-5.56,927M,927M,890M,802M,761M,-,0,-3.99,-9.89,-5.11,1.89,2.03,2,1.86,1.81,-,7.59,-1.48,-6.84,-2.61
PLPC,Preformed Line Products Company,49.2,16.68,252.10M,336.63,15.26,439.19M,409.78M,388.19M,354.67M,336.63M,-,-6.7,-5.27,-8.63,-5.08,29.29M,20.59M,12.86M,6.68M,15.26M,-,-29.7,-37.53,-48.1,128.54,5.5,3.84,2.39,1.25,2.95,-,-30.18,-37.76,-47.7,136
CRUS,Cirrus Logic Inc.,60.06,16.65,3.84B,1169.25,123.63,426.84M,809.79M,714.34M,916.57M,1.17B,-,89.72,-11.79,28.31,27.57,87.98M,136.6M,108.11M,55.18M,123.63M,-,55.25,-20.85,-48.96,124.06,1.35,2.12,1.72,0.88,1.96,-,57.04,-18.87,-48.84,122.73
INTC,Intel Corporation,35.16,16.62,166.15B,59387,10316,53.34B,52.71B,55.87B,55.36B,59.39B,-,-1.19,6,-0.92,7.28,11.01B,9.62B,11.7B,11.42B,10.32B,-,-12.59,21.66,-2.43,-9.67,2.2,1.94,2.39,2.41,2.18,-,-11.82,23.2,0.84,-9.54
SPIL,Siliconware Precision Industries (ADR),8.04,16.4,5.03B,2790.88,325.71,64.65B,69.36B,83.07B,82.84B,85.11B,-,7.27,19.78,-0.28,2.74,5.59B,5.89B,11.73B,8.76B,9.93B,-,5.34,99.09,-25.31,13.36,1.82,1.9,3.76,2.81,3.19,-,4.4,97.89,-25.27,13.52
INFY,Infosys Ltd ADR,15.67,16.34,36.39B,9545.37,2062.37,337.34B,403.52B,501.33B,533.19B,624.41B,-,19.62,24.24,6.36,17.11,83.32B,94.29B,106.56B,123.72B,136.78B,-,13.17,13.01,16.1,10.56,36.46,41.26,46.62,54.13,59.84,-,13.16,13.01,16.1,10.55
AMKR,Amkor Technology Inc.,10.95,15.93,2.63B,3893.64,164.19,2.76B,2.96B,3.13B,2.88B,3.89B,-,7.14,5.85,-7.82,34.98,41.61M,108.62M,130.01M,56.75M,164.19M,-,161.06,19.7,-56.35,189.34,0.26,0.58,0.56,0.24,0.69,-,123.08,-3.45,-57.14,187.5
IEC,IEC Electronics Corp,3.7,15.92,38.13M,127.01,4.79,144.96M,140.95M,135.62M,127M,127.01M,-,-2.77,-3.78,-6.36,0.01,6.69M,(9.53M),(15.07M),(3.77M),4.79M,-,-242.37,-58.14,74.98,226.92,0.69,-0.98,-1.53,-0.97,0.47,-,-242.03,-56.12,36.82,148.62
NINE,Ninetowns Internet Technlgy Grp Co Ltd.,1.74,-,-,66.47M,15.91,339.55M,347.85M,241.45M,211.01M,161.29M,-,2.45,-30.59,-12.61,-23.57,24.95M,20.52M,1.73M,(18.35M),(212.7M),-,-17.78,-91.59,-1163.27,-1059,0.18,0.16,0.01,-0.11,-1.25,-,-11.21,-93.75,-1180,-1058.33
CNXN,PC Connection Inc.,28.64,15.89,777.42M,2692.59,48.11,2.16B,2.22B,2.46B,2.57B,2.69B,-,2.91,10.88,4.49,4.61,33.07M,35.68M,42.68M,46.83M,48.11M,-,7.9,19.61,9.71,2.74,1.25,1.37,1.63,1.77,1.81,-,9.6,18.98,8.59,2.26
CVG,Convergys Corp,20.46,15.81,1.93B,2913.6,133,2.01B,2.05B,2.86B,2.95B,2.91B,-,2.05,39.56,3.33,-1.25,28.2M,58.5M,116.5M,168.4M,133M,-,107.45,99.15,44.55,-21.02,0.9,0.57,1.16,1.72,1.39,-,-37.08,104.29,48.38,-19.13
TRT,Trio-Tech International,4.18,15.67,14.28M,34.45,0.78,34.21M,31.77M,36.26M,33.93M,34.45M,-,-7.14,14.14,-6.43,1.54,(3.1M),-671000,81000,517000,783000,-,78.35,112.07,538.27,51.45,-0.94,-0.31,0.02,0.15,0.22,-,67.02,105.23,825.93,46.67
SCSC,ScanSource Inc.,39.5,15.64,997.48M,3540.23,63.62,3.02B,2.88B,2.91B,3.22B,3.54B,-,-4.59,1.27,10.47,9.99,74.29M,34.66M,81.79M,65.42M,63.62M,-,-53.34,135.96,-20.01,-2.75,2.72,1.25,2.89,2.29,2.4,-,-54.04,131.2,-20.76,4.8
NCIT,NCI Inc,15,15.54,205.78M,333.1,12.17,558.26M,368.39M,332.33M,317.03M,333.1M,-,-34.01,-9.79,-4.6,5.07,13.16M,(86.82M),7.74M,8.47M,12.17M,-,-759.86,108.91,9.43,43.74,0.96,-6.51,0.6,0.66,0.94,-,-778.13,109.22,10,42.42
TSM,Taiwan Semiconductor Mfg. Co. Ltd. (ADR),32.81,15.51,165.22B,31098.24,10965.37,506.72B,597B,762.84B,843.51B,947.91B,-,17.82,27.78,10.58,12.38,166.32B,188.15B,263.9B,306.57B,334.25B,-,13.12,40.26,16.17,9.03,6.42,7.26,10.18,11.82,12.89,-,13.08,40.22,16.11,9.05
TKAT,Takung Art Co Ltd,9.94,15.49,112.06M,11.34,5.44,60200,-,-,-,11.34M,-,-,-,-,-,-131473,-236538,-335584,-314300,5.44M,-,-79.91,-41.87,6.34,1829.59,-0.25,-0.25,-0.74,-0.25,0.49,-,0,-194.48,66.04,296
AUO,AU Optronics Corp (ADR),3.83,15.1,3.79B,10796.15,256.51,378.47B,416.36B,408.18B,360.35B,329.09B,-,10.01,-1.97,-11.72,-8.67,(54.75B),4.18B,17.63B,4.93B,7.82B,-,107.64,321.7,-72.02,58.54,-6.2,0.45,1.83,0.51,0.81,-,107.26,306.67,-72.13,58.82
CLS,Celestica Inc,14.32,15.08,1.75B,6016.5,136.3,6.5B,5.97B,6.22B,7.21B,7.97B,-,-8.19,4.14,16,10.49,117.66M,121.59M,119.5M,85.59M,180.59M,-,3.34,-1.71,-28.38,110.99,0.56,0.66,0.67,0.55,1.27,-,17.79,2.17,-18.35,131.21
SANM,Sanmina Corp,39.7,15.07,2.95B,6481.18,187.84,6.09B,5.92B,6.22B,6.37B,6.48B,-,-2.89,5.04,2.56,1.67,180.23M,79.35M,197.17M,377.26M,187.84M,-,-55.97,148.47,91.34,-50.21,2.22,0.96,2.38,4.61,2.5,-,-56.76,147.92,93.7,-45.77
WSTG,Wayside Technology Group Inc.,18.85,14.34,87.08M,418.13,5.9,297.06M,300.39M,340.76M,382.09M,418.13M,-,1.12,13.44,12.13,9.43,5.49M,6.39M,5.76M,5.83M,5.9M,-,16.47,-9.9,1.22,1.22,1.23,1.44,1.24,1.26,1.31,-,17.07,-13.89,1.61,3.97
SIMO,Silicon Motion Technology Corp. (ADR),44.75,14.33,1.58B,556.15,110.94,281.91M,224.91M,287.3M,361.12M,556.88M,-,-20.22,27.74,25.7,54.21,47.31M,27.33M,44.16M,60.22M,111.09M,-,-42.24,61.58,36.39,84.46,1.48,0.84,1.31,1.76,3.16,-,-43.45,56.31,34.22,79.87
AUDC,AudioCodes Ltd.,6.8,14.23,226.27M,145.57,16.24,127.49M,137.23M,151.58M,139.76M,145.57M,-,7.64,10.45,-7.8,4.16,(4.18M),4.22M,-86000,366000,16.24M,-,200.98,-102.04,525.58,4336.61,-0.11,0.11,(),0.01,0.46,-,200,-101.82,600,4500
IBM,International Business Machines Corp.,173.83,14.01,163.11B,79919,11881,104.51B,98.37B,92.79B,81.74B,79.92B,-,-5.88,-5.67,-11.91,-2.23,16.6B,16.88B,15.75B,13.36B,11.88B,-,1.67,-6.69,-15.15,-11.1,14.53,15.06,16.68,13.6,12.43,-,3.65,10.74,-18.48,-8.6
SIMG,Silicon Image Inc.,7.28,-,-,569.35M,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PWRD,Perfect World Co. Ltd. (ADR),20.17,-,-,986.85M,13.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARW,Arrow Electronics Inc.,73.02,12.84,6.53B,23825.26,522.75,20.41B,21.36B,22.77B,23.28B,23.83B,-,4.67,6.61,2.25,2.33,506.33M,399.42M,498.05M,497.73M,522.75M,-,-21.11,24.69,-0.06,5.03,4.64,3.89,5.05,5.26,5.75,-,-16.16,29.82,4.16,9.32
YY,YY Inc (ADR),46.3,12.61,2.55B,1192.69,221.55,130.13M,296.92M,596.12M,937.84M,1.23B,-,128.17,100.77,57.32,31.41,14.15M,77.79M,172.51M,164.32M,228.92M,-,449.68,121.77,-4.75,39.32,4.76,1.4,2.98,2.93,4.06,-,-70.59,112.95,-1.87,38.61
HPE,Hewlett Packard Enterprise Co,22.77,12.35,38.41B,50123,3161,60.99B,57.33B,55.13B,51.83B,50.1B,-,-6,-3.83,-5.98,-3.33,(14.76B),2.05B,1.65B,2.46B,3.16B,-,113.89,-19.65,49.33,28.44,-8.18,1.14,0.91,1.36,1.84,-,113.89,-19.65,48.96,35.29
YRD,Yirendai Ltd - ADR,24.94,12.1,1.46B,209.09,43.83,-,-,3.13M,31.77M,209.72M,-,-,-,913.5,560.16,,-,-,-,46.36,1077.82,-,-,-0.17,-0.09,0.87,-,-,-,46.35,1071.32,,,,
KOSS,Koss Corporation,2.15,11.96,15.87M,26,1.39,37.87M,35.76M,23.84M,24.23M,26M,-,-5.55,-33.34,1.63,7.31,2.94M,5.43M,(5.55M),482613,1.39M,-,84.59,-202.32,108.69,187.81,0.4,0.74,-0.75,0.07,0.19,-,85,-201.35,109.33,171.43
LPL,LG Display Co Ltd. (ADR),13.24,11.66,9.58B,23512.16,804.36,29.43T,27.03T,26.46T,28.38T,26.5T,-,-8.14,-2.14,7.29,-6.62,233.2B,426.12B,904.27B,966.55B,906.71B,-,82.72,112.21,6.89,-6.19,652,1191,2527,2701,2534,-,82.67,112.17,6.89,-6.18
HPQ,HP Inc,17.23,11.33,29.10B,48238,2666,119.93B,112.25B,111.48B,50.47B,48.22B,-,-6.41,-0.69,-54.73,-4.46,(12.65B),5.11B,5.01B,3.72B,2.67B,-,140.42,-1.96,-25.83,-28.29,-6.41,2.64,2.66,2.51,1.44,-,141.19,0.76,-5.64,-42.63
TSEM,Tower Semiconductor Ltd. (USA),23.05,11.31,2.15B,1249.63,203.92,2.46B,1.82B,2.96B,3.73B,4.8B,-,-26.01,62.49,26,28.54,(270.99M),(388.6M),15.25M,(115.19M),782.82M,-,-43.4,103.92,-855.33,779.62,-12.38,-9.82,0.29,-1.55,8.94,-,20.67,102.92,-643.01,675.53
MNDO,MIND C.T.I. Ltd.,2.45,11,47.12M,18.05,4.2,20.21M,18.48M,25.02M,20.93M,18.05M,-,-8.56,35.39,-16.35,-13.74,4.28M,2.19M,5.48M,5.02M,4.2M,-,-48.92,150.94,-8.48,-16.24,0.23,0.12,0.29,0.26,0.22,-,-47.83,141.67,-10.34,-15.38
KTCC,Key Tronic Corporation,7.2,10.98,78.67M,484.96,6.53,346.48M,361.03M,305.39M,434M,484.97M,-,4.2,-15.41,42.11,11.74,11.63M,12.58M,7.61M,4.3M,6.53M,-,8.23,-39.5,-43.47,51.79,1.11,1.2,0.72,0.41,0.61,-,8.11,-40,-43.06,48.78
CYOU,Changyou.Com Ltd (ADR),28.89,10.59,1.50B,525.38,144.95,623.37M,738.7M,752.31M,761.16M,524.04M,-,18.5,1.84,1.18,-31.15,282.37M,268.94M,(3.37M),212.65M,144.58M,-,-4.76,-101.25,6414.29,-32.01,5.34,5.07,-0.06,4.06,2.77,-,-5.13,-101.18,6885.12,-31.66
WSTC,West Corp,23.95,10.49,2.00B,2291.96,193.39,2.64B,2.69B,2.22B,2.28B,2.29B,-,1.81,-17.4,2.78,0.51,125.54M,143.2M,134.61M,190.92M,193.39M,-,14.07,-6,41.83,1.3,1.5,1.82,1.89,2.32,2.33,-,20.94,3.85,22.8,0.39
KING,King Digital Entertainment PLC,18,10.26,5.69B,2012.57,516.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDCC,InterDigital Inc.,85.1,9.7,2.92B,665.85,309,663.06M,325.36M,415.82M,441.44M,665.85M,-,-50.93,27.8,6.16,50.84,271.8M,38.17M,104.34M,119.23M,309M,-,-85.96,173.4,14.26,159.17,6.31,0.93,2.65,3.31,8.95,-,-85.26,184.95,24.91,170.39
GLW,Corning Incorporated,27.41,8.5,24.96B,9390,3597,8.01B,7.82B,9.71B,9.09B,9.39B,-,-2.4,24.21,-6.39,3.24,1.73B,1.96B,2.47B,1.34B,3.7B,-,13.48,26.06,-45.83,175.95,1.16,1.35,1.82,1.02,3.53,-,16.38,34.81,-43.96,246.08
FORTY,Formula Systems (1985) Ltd. (ADR),40.45,8.27,607.95M,750.56,73.7,2.29B,2.87B,2.88B,2.28B,2.92B,-,25.29,0.12,-20.83,28.09,153.73M,92.67M,292.32M,289.16M,286.36M,-,-39.72,215.44,-1.08,-0.97,11.34,6.83,21.3,20.75,20.36,-,-39.82,211.99,-2.58,-1.88
OTEX,Open Text Corp (USA),34,7.47,8.98B,1824.23,284.48,1.21B,1.37B,1.74B,2.17B,2.42B,-,13.01,26.93,24.88,11.43,125.65M,149.21M,233.41M,274.72M,377.28M,-,18.76,56.43,17.7,37.33,0.54,0.64,0.97,1.13,1.55,-,17.25,53.23,15.58,37.87
SILC,Silicom Ltd,47.15,7.29,1.96B,100.35,13.14,48.73M,73.3M,75.62M,82.74M,100.35M,-,50.42,3.17,9.41,21.28,9.87M,17.08M,14.61M,16.52M,13.14M,-,73,-14.48,13.11,-20.48,1.42,2.4,2.03,2.27,1.79,-,68.82,-15.43,11.81,-21.25
SAI,Leidos Holdings Inc,16.03,6.44,1.37B,7043,244,4.71M,6.24M,6.97M,6.45M,5.33M,-,32.45,11.56,-7.42,-17.38,-389897,-672600,-317645,-697269,(1.02M),-,-72.51,52.77,-119.51,-45.77,-0.01,-0.01,(),-0.01,-0.01,-,0,56,-127.27,-41
MEET,MeetMe Inc,5.25,6.4,354.85M,76.12,46.27,46.66M,40.38M,44.82M,56.9M,76.12M,-,-13.46,10.99,26.97,33.78,(6.63M),(10.9M),(3.96M),5.97M,46.27M,-,-64.44,63.64,250.67,675.07,-0.28,-0.29,-0.1,0.13,0.89,-,-3.57,65.52,230,584.62
EBAY,eBay Inc,33.4,5.15,36.31B,8979,7285,14.03B,16.05B,8.79B,8.59B,8.98B,-,14.42,-45.24,-2.25,4.5,2.61B,2.86B,(865M),1.95B,7.29B,-,9.47,-130.29,325.09,274.17,2.02,2.21,0.04,1.43,6.41,-,9.18,-98.19,3475,348.25
PRLS,Peerless Systems Corp.,6.96,-,-,18.88M,4.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVID,Avid Technology Inc.,4.7,4.86,202.56M,505.6,2.48,677.94M,635.7M,563.41M,530.25M,505.6M,-,-6.23,-11.37,-5.89,-4.65,(23.79M),47.09M,21.15M,14.73M,2.48M,-,297.92,-55.08,-30.37,-83.16,-0.62,1.42,0.54,0.38,0.06,-,329.03,-61.97,-29.63,-84.21
NTIP,Network-1 Technologies Inc,4.8,4.7,118.60M,16.56,4.11,7.4M,8.7M,8.28M,12.31M,16.57M,-,17.57,-4.86,48.75,34.58,8.49M,2.63M,1.02M,1.77M,4.11M,-,-69.08,-61.31,73.82,132.56,0.33,0.1,0.04,0.07,0.17,-,-69.7,-60,75,142.86
ELLO,Ellomay Capital Ltd.,8.01,2.96,86.54M,647.3,28.24,6.11M,8.89M,12.98M,15.78M,13.82M,-,45.4,46.03,21.57,-12.45,-972000,(2.11M),10.07M,6.66M,7.55M,-,-117.08,577.16,-33.87,13.44,-0.09,-0.2,0.94,0.62,0.7,-,-122.22,570,-34.04,12.9
OPEN,OpenTable Inc,0,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JCS,Communications Systems Inc.,4.4,-,38.99M,107.67,-9.65,104.25M,131.32M,119.07M,107.67M,99.35M,-,25.97,-9.33,-9.58,-7.72,2.24M,-957888,1.96M,(9.65M),(8.11M),-,-142.8,304.81,-591.79,15.91,0.26,-0.11,0.23,-1.11,-0.92,-,-142.31,309.09,-582.61,17.12
ZAGG,Zagg Inc,6.45,-,182.61M,401.86,-15.59,264.43M,219.36M,261.59M,269.31M,401.86M,-,-17.04,19.25,2.95,49.22,14.51M,4.79M,10.46M,15.59M,(15.59M),-,-66.98,118.39,49,-200,0.48,0.16,0.35,0.54,-0.56,-,-66.67,118.75,54.29,-203.7
MX,Magnachip Semiconductor Corp,9.05,-,361.13M,687.97,-29.62,811.94M,731.19M,692.19M,636.93M,688.61M,-,-9.95,-5.33,-7.98,8.11,110.04M,(64.2M),(117.23M),(84.87M),(29.62M),-,-158.35,-82.6,27.61,65.1,3.01,-1.82,-3.44,-2.47,-0.85,-,-160.47,-89.01,28.2,65.59
DGLY,Digital Ally Inc.,4.15,-,22.76M,20.03,-12.04,19.58M,17.62M,17.83M,17.44M,20.03M,-,-10.01,1.18,-2.14,14.82,(3.96M),(1.97M),(2.5M),(9.16M),(12.04M),-,50.26,-26.74,-266.83,-31.37,-2,-0.97,-1.17,-3.54,-2.77,-,51.5,-20.62,-202.56,21.75
CARB,Carbonite Inc,19.3,-,541.97M,206.99,-4.1,84.04M,107.19M,122.62M,136.62M,206.99M,-,27.55,14.39,11.41,51.51,(18.94M),(10.61M),(9.35M),(21.62M),(4.1M),-,44,11.83,-131.18,81.04,-0.74,-0.41,-0.35,-0.8,-0.15,-,44.59,14.63,-128.57,81.25
IL,Intralinks Holdings Inc,0,-,-,276.15,-30.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSOD,Cornerstone OnDemand Inc.,38.91,-,2.21B,423.12,-66.84,117.91M,185.13M,263.57M,339.65M,423.12M,-,57,42.37,28.87,24.58,(31.39M),(40.43M),(64.9M),(85.52M),(66.84M),-,-28.79,-60.54,-31.77,21.84,-0.63,-0.79,-1.22,-1.58,-1.2,-,-25.4,-54.43,-29.51,24.05
MU,Micron Technology Inc.,28.43,-,31.84B,12399,-276,8.23B,9.07B,16.36B,16.19B,12.4B,-,10.19,80.29,-1.01,-23.43,(1.03B),1.19B,3.05B,2.9B,(276M),-,215.31,155.88,-4.79,-109.52,-1.04,1.16,2.87,2.71,-0.27,-,211.54,147.41,-5.57,-109.96
TNAV,Telenav Inc,8.25,-,357.26M,183.35,-35.32,218.51M,191.8M,150.31M,160.24M,183.35M,-,-12.22,-21.63,6.6,14.42,32.41M,5.58M,(29.52M),(23.06M),(35.32M),-,-82.78,-629.01,21.88,-53.15,0.78,0.16,-0.76,-0.58,-0.85,-,-79.12,-566.54,23.68,-46.55
LNKD,LinkedIn Corp,195.96,-,-,26.65B,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUDO,Tudou Hldg Ltd (ADR),28.36,-,-,1.61B,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EIGI,Endurance International Group Hldgs Inc,7.9,-,1.12B,1111.14,-72.83,292.16M,520.3M,629.85M,741.32M,1.11B,-,78.09,21.06,17.7,49.89,(139.3M),(159.19M),(42.84M),(25.77M),(72.83M),-,-14.28,73.09,39.84,-182.62,-1.37,-1.55,-0.34,-0.2,-0.55,-,-13.05,78.06,41.18,-175
MOBL,Mobileiron Inc,4.4,-,401.73M,163.93,-67.18,40.89M,105.57M,132.3M,149.3M,163.93M,-,158.19,25.31,12.85,9.8,(46.51M),(32.5M),(61.89M),(84.48M),(67.18M),-,30.13,-90.45,-36.51,20.48,-4.32,-0.23,-1.3,-1.07,-0.78,-,94.68,-465.22,17.69,27.1
PSMI,Peregrine Semiconductor Corp,12.45,-,-,424.13M,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRAM,Everspin Technologies Inc,7.88,-,99.38M,27.09,-16.7,-,-,24.9M,26.55M,27.09M,-,-,-,6.63,2.06,-,-,(10.18M),(18.18M),(16.7M),-,-,-,-78.56,8.15,-,-,-0.77,-1.37,-3.52,-,-,-,-78.56,-156.35
ELOQ,Eloqua Inc,0,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JMU,JMU Ltd- ADR,2.84,-,238.78M,11.48,-107.01,-,-,36.29M,-,11.47M,-,-,-,-,-,-,-,(32.21M),(4.29M),(104.58M),-,-,-,86.67,-2336.13,-,-,-4.14,-5.02,-2.52,-,-,-,-21.13,49.84
NTNX,Nutanix Inc,19.5,-,2.75B,444.93,-168.5,-,30.53M,127.13M,241.43M,444.93M,-,-,316.36,89.91,84.29,-,(44.73M),(84M),(126.13M),(168.5M),-,-,-87.78,-50.15,-33.59,-,-0.37,-0.69,-0.9,-1.21,-,-,-87.76,-31.6,-33.59
SSNI,Silver Spring Networks Inc,10.56,-,555.39M,311.01,-21.63,196.74M,326.86M,191.29M,489.56M,311.01M,-,66.14,-41.48,155.93,-36.47,(89.72M),(66.81M),(89.17M),79.99M,(21.63M),-,25.54,-33.47,189.7,-127.04,-1.97,-4.54,-1.84,1.6,-0.42,-,-130.19,59.47,186.96,-126.25
SCKT,Socket Mobile Inc.,4.44,2.69,26.04M,20.79,12.15,13.56M,15.66M,17.02M,18.4M,20.79M,-,15.46,8.68,8.1,12.98,(3.3M),-620493,432117,1.82M,12.15M,-,81.19,169.64,320.64,568.27,-0.68,-0.13,0.09,0.33,2.1,-,80.88,169.23,266.67,536.36
